,A_Polarity,A_Subjectivity,Characters,Dale_Chall,Dale_Chall_Percentage,Flesch,S_Polarity,S_Subjectivity,Spache_Percentage,Weasel_Percentage,Word_Count,bin
13,0.15882603815937152,0.43914029180695835,4.840579710144928,10.595263561076605,0.6252587991718427,44.12043198357904,0.2084688151354818,0.35099246432579767,0.567287784679089,0.049689440993788817,483,0
14,0.02786458333333334,0.2888020833333333,5.033632286995516,11.395413901345293,0.5538116591928252,47.7364048839313,0.029133597883597886,0.18935185185185185,0.5044843049327354,0.026905829596412557,446,0
15,0.08463809523809525,0.48307619047619044,5.0458015267175576,12.850245292620865,0.49363867684478374,32.23183489304813,0.027061011904761904,0.3367782738095238,0.43256997455470736,0.035623409669211195,393,0
16,0.076712987012987,0.4106290043290043,5.194991055456172,12.422864528494761,0.5062611806797853,31.220000000000027,0.018313291646625,0.44226160413660426,0.4418604651162791,0.017889087656529516,559,0
17,0.03395238095238095,0.39872161172161164,5.041162227602905,11.579919747107883,0.5690072639225182,31.736559503666143,-0.0033571428571428632,0.3309090354090355,0.5278450363196125,0.031476997578692496,413,0
18,0.013725490196078431,0.36764705882352944,5.459183673469388,13.00275986394558,0.47278911564625853,27.4393466898955,0.04461538461538462,0.16572649572649573,0.42857142857142855,0.017006802721088437,294,0
19,0.07853787488553117,0.4949264537545789,5.1819354838709675,10.998945161290322,0.6122580645161291,30.997163645539842,0.07220890914640914,0.4200346065971065,0.5651612903225807,0.03870967741935484,1550,0
20,0.06255693581780539,0.3166097308488613,4.782407407407407,11.091888271604939,0.6126543209876543,39.03826923076926,0.05149943310657596,0.2624886621315192,0.5740740740740741,0.043209876543209874,648,0
0,0.12322916666666667,0.38345238095238093,5.039946737683089,11.661574026550458,0.563249001331558,36.046125541125576,0.06571839080459771,0.2731116584564861,0.5086551264980027,0.02796271637816245,751,0
1,-0.0578125,0.30781250000000004,5.101928374655647,10.698415799708314,0.6198347107438017,36.341503635161956,-0.039705882352941174,0.16519607843137257,0.5344352617079889,0.027548209366391185,363,0
2,0.06122134038800705,0.2938271604938272,4.967084639498433,11.687313595116319,0.5956112852664577,26.305176002707753,0.055546815948601655,0.2741990268329554,0.567398119122257,0.05172413793103448,638,0
3,0.06577989718614717,0.30821699134199154,5.364846870838882,13.799385016802992,0.46870838881491345,13.835230125523026,0.06439667154740683,0.33487183636080703,0.44607190412782954,0.018641810918774968,751,0
4,0.04178321678321679,0.334149184149184,5.007481296758105,11.672447559672248,0.5810473815461347,32.39932989690723,0.029974747474747473,0.2859343434343434,0.5236907730673317,0.0199501246882793,401,0
5,0.04701754385964913,0.4200877192982457,4.805128205128205,10.469646042363433,0.6205128205128205,53.654659345584975,-0.002246376811594191,0.22452898550724637,0.5615384615384615,0.028205128205128206,390,0
6,0.07284466945483896,0.3775882309780615,5.094267515923567,11.58057106939323,0.5617834394904458,40.50205037996062,0.06877447948876521,0.33617759224902083,0.4968152866242038,0.03184713375796178,785,0
7,0.005555555555555553,0.24320987654320986,4.865116279069768,11.422830232558141,0.5744186046511628,44.55403588516748,0.008796296296296295,0.179320987654321,0.5162790697674419,0.018604651162790697,430,0
8,0.0854491341991342,0.6083928571428572,4.91743119266055,12.028163544181556,0.5045871559633027,47.47239938080497,0.040527597402597405,0.6427380952380952,0.42660550458715596,0.027522935779816515,218,0
9,0.04699494949494945,0.4003535353535353,4.970915312232678,12.433923282757792,0.5072711719418306,36.77730152719931,0.02631939311817362,0.32593855218855217,0.4414029084687767,0.02737382378100941,1169,0
12,-0.04095238095238095,0.23714285714285716,4.763285024154589,12.121020634920635,0.5555555555555556,39.98979695431473,-0.05204081632653061,0.19982993197278912,0.4975845410628019,0.024154589371980676,207,0
13,0.036206896551724134,0.28505747126436787,4.939461883408072,11.133362438607731,0.5919282511210763,45.82378480060197,0.030416666666666665,0.20388888888888893,0.531390134529148,0.017937219730941704,446,0
14,0.006687878787878795,0.41678181818181814,5.543596730245231,13.50240583106267,0.4904632152588556,7.858045486600872,0.04072951739618406,0.4080464365881033,0.4427792915531335,0.020435967302452316,734,0
15,0.1018844118844119,0.3481949531949532,4.850352112676056,10.449141677336748,0.6496478873239436,45.11881422924904,0.061453766691861936,0.3274766943814563,0.5633802816901409,0.06690140845070422,568,0
16,0.04732905982905983,0.21457922419460884,5.725641025641026,14.315928093645486,0.3769230769230769,26.16416015852664,0.08020647653000595,0.29000839846428084,0.3435897435897436,0.01282051282051282,390,0
17,0.10930059523809525,0.36521577380952386,5.571428571428571,13.312981594684386,0.48172757475083056,10.242068965517262,0.10828543083900226,0.404687925170068,0.42524916943521596,0.03322259136212625,301,0
18,0.0832729468599034,0.4060386473429952,4.580152671755725,9.685823765903308,0.6717557251908397,57.57400000000001,0.09243827160493827,0.37532098765432104,0.6183206106870229,0.06870229007633588,262,0
19,0.0068888888888888776,0.39399999999999996,5.17515923566879,11.700314012738854,0.5509554140127388,42.27606617647061,-0.03655864197530865,0.318179012345679,0.47770700636942676,0.054140127388535034,314,0
20,-0.015677179962894243,0.30719851576994434,5.40669014084507,12.614173045167556,0.49295774647887325,37.41648648648652,-0.008790830381739471,0.22507133018496653,0.4102112676056338,0.01936619718309859,568,0
21,0.01949792038027333,0.4240998217468805,5.574025974025974,13.397161375661376,0.4714285714285714,13.674593495934971,0.048936735778841035,0.4192018872939926,0.42337662337662335,0.01948051948051948,770,0
22,-0.078125,0.3038194444444445,4.931540342298288,11.638570611246944,0.5574572127139364,45.14967346938778,-0.06339285714285714,0.2675595238095238,0.4841075794621027,0.04645476772616137,409,0
23,-0.004347826086956528,0.32028985507246377,4.930787589498807,11.913536011667993,0.548926014319809,43.71532488223886,0.016228070175438595,0.24035087719298245,0.4797136038186158,0.026252983293556086,419,0
0,0.09633838383838383,0.3566919191919191,5.05685618729097,11.006142474916388,0.5919732441471572,42.576056034482804,0.05144675925925926,0.22528935185185187,0.5451505016722408,0.03678929765886288,299,0
1,0.06081950456950456,0.42131003916718207,4.328600405679513,11.025556832011802,0.6024340770791075,61.164686194549446,0.0900933140933141,0.4076974163402735,0.5740365111561866,0.056795131845841784,493,0
2,0.055091743119266054,0.36081476627348175,5.078787878787879,11.770954545454545,0.5424242424242425,35.78535714285718,0.04033518140589568,0.30917154195011337,0.5007575757575757,0.051515151515151514,1320,0
3,0.09702761261496202,0.4050694118465204,4.922279792746114,11.797445768566494,0.533678756476684,52.47440105437201,0.06462591475984333,0.32465169337937183,0.5001992825827023,0.03268234356317258,2509,0
5,0.07498251748251748,0.4435497835497837,4.852691218130311,10.96642212059895,0.5991501416430595,44.9667391304348,0.04754219490826633,0.3711967249020821,0.5509915014164306,0.05807365439093484,706,0
6,0.22342140618002693,0.45026309896999556,4.848534201954397,10.645494086695065,0.6302931596091205,40.46224080267561,0.12755756320973713,0.37707776522993913,0.5537459283387622,0.057003257328990226,614,0
7,0.0721985815602837,0.4290780141843971,5.049250535331906,11.603256847149996,0.5653104925053534,28.217154471544745,0.07205555555555555,0.42861111111111116,0.5438972162740899,0.042826552462526764,467,0
8,0.09962347729789589,0.41916993858854334,4.7254901960784315,11.119143921568627,0.5901960784313726,46.94679016393442,0.1218164582331249,0.3912675565175565,0.5313725490196078,0.03137254901960784,510,0
9,-0.01069844789356984,0.3461382113821138,4.755102040816326,11.178694681508969,0.6029684601113172,46.677564832384576,-0.04040404040404039,0.35257936507936505,0.5565862708719852,0.04081632653061224,539,0
10,0.14675156325156322,0.5425612073112073,4.441677588466579,10.158780028228652,0.6330275229357798,62.23542224080268,0.07025323582141764,0.38507111154838436,0.6081258191349934,0.08256880733944955,763,0
11,0.07365304834054838,0.42498318645640076,4.83373063170441,12.359535877996835,0.533969010727056,33.285198853194174,0.09155245638200182,0.3783007564825747,0.4940405244338498,0.043504171632896306,1678,0
